RK,TIERS,PLAYER NAME,TEAM,POS,BYE WEEK,SOS SEASON,Taken
49,5,Diontae Johnson,PIT,WR27,6,3 out of 5 stars,0
50,5,T.J. Hockenson,MIN,TE3,13,3 out of 5 stars,0
51,6,Justin Fields,CHI,QB6,13,5 out of 5 stars,0
52,6,Breece Hall,NYJ,RB16,7,3 out of 5 stars,0
53,6,Justin Herbert,LAC,QB7,5,3 out of 5 stars,0
54,6,Tyler Lockett,SEA,WR28,5,3 out of 5 stars,0
55,6,Brandon Aiyuk,SF,WR29,9,3 out of 5 stars,0
56,6,Mike Williams,LAC,WR30,5,3 out of 5 stars,0
57,6,Christian Kirk,JAC,WR31,9,4 out of 5 stars,0
58,6,Michael Pittman Jr.,IND,WR32,11,4 out of 5 stars,0
59,6,Marquise Brown,ARI,WR33,14,3 out of 5 stars,0
60,6,Miles Sanders,CAR,RB17,7,4 out of 5 stars,0
61,6,Kenneth Walker III,SEA,RB18,5,2 out of 5 stars,0
62,6,Mike Evans,TB,WR34,5,4 out of 5 stars,0
63,6,Alexander Mattison,MIN,RB19,13,5 out of 5 stars,0
64,6,Dameon Pierce,HOU,RB20,7,3 out of 5 stars,0
65,6,Trevor Lawrence,JAC,QB8,9,3 out of 5 stars,0
66,6,J.K. Dobbins,BAL,RB21,13,3 out of 5 stars,0
67,6,Darren Waller,NYG,TE4,13,1 out of 5 stars,0
68,6,George Kittle,SF,TE5,9,3 out of 5 stars,0
69,6,Cam Akers,LAR,RB22,10,3 out of 5 stars,0
70,6,James Conner,ARI,RB23,14,3 out of 5 stars,0
71,7,Rachaad White,TB,RB24,5,3 out of 5 stars,0
72,7,Jahan Dotson,WAS,WR35,14,3 out of 5 stars,0
73,7,Dallas Goedert,PHI,TE6,10,2 out of 5 stars,0
74,7,Jordan Addison,MIN,WR36,13,3 out of 5 stars,0
75,7,Kyle Pitts,ATL,TE7,11,3 out of 5 stars,0
76,7,George Pickens,PIT,WR37,6,3 out of 5 stars,0
77,7,Alvin Kamara,NO,RB25,11,4 out of 5 stars,0
78,7,Jaxon Smith-Njigba,SEA,WR38,5,3 out of 5 stars,0
79,7,Javonte Williams,DEN,RB26,9,4 out of 5 stars,0
80,7,Brandin Cooks,DAL,WR39,7,2 out of 5 stars,0
81,7,James Cook,BUF,RB27,13,2 out of 5 stars,0
82,7,David Montgomery,DET,RB28,9,5 out of 5 stars,0
83,7,Treylon Burks,TEN,WR40,7,3 out of 5 stars,0
84,7,Gabe Davis,BUF,WR41,13,2 out of 5 stars,0
85,7,D'Andre Swift,PHI,RB29,10,1 out of 5 stars,0
86,7,Courtland Sutton,DEN,WR42,9,2 out of 5 stars,0
87,7,JuJu Smith-Schuster,NE,WR43,11,2 out of 5 stars,0
88,7,Isiah Pacheco,KC,RB30,10,4 out of 5 stars,0
89,7,Dalvin Cook,NYJ,RB31,7,3 out of 5 stars,0
90,7,Michael Thomas,NO,WR44,11,4 out of 5 stars,0
91,7,Deshaun Watson,CLE,QB9,5,2 out of 5 stars,0
92,7,Elijah Moore,CLE,WR45,5,3 out of 5 stars,0
93,7,Quentin Johnston,LAC,WR46,5,3 out of 5 stars,0
94,8,Antonio Gibson,WAS,RB32,14,3 out of 5 stars,0
95,8,Dak Prescott,DAL,QB10,7,2 out of 5 stars,0
96,8,Zay Flowers,BAL,WR47,13,3 out of 5 stars,0
97,8,Evan Engram,JAC,TE8,9,2 out of 5 stars,0
98,8,Rashod Bateman,BAL,WR48,13,3 out of 5 stars,0
99,8,Tua Tagovailoa,MIA,QB11,10,2 out of 5 stars,0
100,8,Khalil Herbert,CHI,RB33,13,5 out of 5 stars,0
101,8,AJ Dillon,GB,RB34,6,4 out of 5 stars,0
102,8,Jakobi Meyers,LV,WR49,13,2 out of 5 stars,0
103,8,Pat Freiermuth,PIT,TE9,6,4 out of 5 stars,0
104,8,Daniel Jones,NYG,QB12,13,1 out of 5 stars,0
105,8,Brian Robinson Jr.,WAS,RB35,14,3 out of 5 stars,0
106,8,Kirk Cousins,MIN,QB13,13,4 out of 5 stars,0
107,8,Geno Smith,SEA,QB14,5,2 out of 5 stars,0
